Agency,Mode,Month,Riders
King County Department of Metro Transit,Demand Response,1/1/2020,73573
King County Department of Metro Transit,Demand Response,2/1/2020,71893
King County Department of Metro Transit,Demand Response,3/1/2020,40217
King County Department of Metro Transit,Demand Response,4/1/2020,19769
King County Department of Metro Transit,Demand Response,5/1/2020,22043
King County Department of Metro Transit,Demand Response,6/1/2020,25108
King County Department of Metro Transit,Demand Response,7/1/2020,36591
King County Department of Metro Transit,Demand Response,8/1/2020,33059
King County Department of Metro Transit,Demand Response,9/1/2020,34071
King County Department of Metro Transit,Demand Response,10/1/2020,36070
King County Department of Metro Transit,Demand Response,11/1/2020,31020
King County Department of Metro Transit,Demand Response,12/1/2020,31977
King County Department of Metro Transit,Demand Response,1/1/2021,31199
King County Department of Metro Transit,Demand Response,2/1/2021,28890
King County Department of Metro Transit,Demand Response,3/1/2021,35712
King County Department of Metro Transit,Demand Response,4/1/2021,35814
King County Department of Metro Transit,Demand Response,5/1/2021,36331
King County Department of Metro Transit,Demand Response,6/1/2021,41474
King County Department of Metro Transit,Demand Response,7/1/2021,43135
King County Department of Metro Transit,Demand Response,8/1/2021,43801
King County Department of Metro Transit,Demand Response,9/1/2021,43153
King County Department of Metro Transit,Demand Response,10/1/2021,44676
King County Department of Metro Transit,Demand Response,11/1/2021,43901
King County Department of Metro Transit,Demand Response,12/1/2021,40018
King County Department of Metro Transit,Demand Response,1/1/2022,40600
King County Department of Metro Transit,Demand Response,2/1/2022,42738
King County Department of Metro Transit,Demand Response,3/1/2022,48918
King County Department of Metro Transit,Demand Response,4/1/2022,47823
King County Department of Metro Transit,Demand Response,5/1/2022,47934
King County Department of Metro Transit,Demand Response,6/1/2022,48485
King County Department of Metro Transit,Demand Response,7/1/2022,46783
King County Department of Metro Transit,Demand Response,8/1/2022,50105
King County Department of Metro Transit,Demand Response,9/1/2022,47887
King County Department of Metro Transit,Demand Response,10/1/2022,49032
King County Department of Metro Transit,Demand Response,11/1/2022,45283
King County Department of Metro Transit,Demand Response,12/1/2022,36627
King County Department of Metro Transit,Demand Response,1/1/2023,47779
King County Department of Metro Transit,Demand Response,1/1/2012,5989
King County Department of Metro Transit,Demand Response,2/1/2012,5674
King County Department of Metro Transit,Demand Response,3/1/2012,5818
King County Department of Metro Transit,Demand Response,4/1/2012,6234
King County Department of Metro Transit,Demand Response,5/1/2012,6998
King County Department of Metro Transit,Demand Response,6/1/2012,6144
King County Department of Metro Transit,Demand Response,7/1/2012,6068
King County Department of Metro Transit,Demand Response,8/1/2012,6220
King County Department of Metro Transit,Demand Response,9/1/2012,5969
King County Department of Metro Transit,Demand Response,10/1/2012,8232
King County Department of Metro Transit,Demand Response,11/1/2012,6975
King County Department of Metro Transit,Demand Response,12/1/2012,6415
King County Department of Metro Transit,Demand Response,1/1/2013,6970
King County Department of Metro Transit,Demand Response,2/1/2013,7567
King County Department of Metro Transit,Demand Response,3/1/2013,7418
King County Department of Metro Transit,Demand Response,4/1/2013,7447
King County Department of Metro Transit,Demand Response,5/1/2013,7822
King County Department of Metro Transit,Demand Response,6/1/2013,6807
King County Department of Metro Transit,Demand Response,7/1/2013,7153
King County Department of Metro Transit,Demand Response,8/1/2013,6575
King County Department of Metro Transit,Demand Response,9/1/2013,7649
King County Department of Metro Transit,Demand Response,10/1/2013,7276
King County Department of Metro Transit,Demand Response,11/1/2013,7154
King County Department of Metro Transit,Demand Response,12/1/2013,6545
King County Department of Metro Transit,Demand Response,1/1/2014,7129
King County Department of Metro Transit,Demand Response,2/1/2014,6345
King County Department of Metro Transit,Demand Response,3/1/2014,6420
King County Department of Metro Transit,Demand Response,4/1/2014,7786
King County Department of Metro Transit,Demand Response,5/1/2014,7730
King County Department of Metro Transit,Demand Response,6/1/2014,7482
King County Department of Metro Transit,Demand Response,7/1/2014,8157
King County Department of Metro Transit,Demand Response,8/1/2014,8120
King County Department of Metro Transit,Demand Response,9/1/2014,9678
King County Department of Metro Transit,Demand Response,10/1/2014,9912
King County Department of Metro Transit,Demand Response,11/1/2014,8735
King County Department of Metro Transit,Demand Response,12/1/2014,8750
King County Department of Metro Transit,Demand Response,1/1/2015,8310
King County Department of Metro Transit,Demand Response,2/1/2015,7794
King County Department of Metro Transit,Demand Response,3/1/2015,8332
King County Department of Metro Transit,Demand Response,4/1/2015,8833
King County Department of Metro Transit,Demand Response,5/1/2015,9082
King County Department of Metro Transit,Demand Response,6/1/2015,8388
King County Department of Metro Transit,Demand Response,7/1/2015,9038
King County Department of Metro Transit,Demand Response,8/1/2015,8034
King County Department of Metro Transit,Demand Response,9/1/2015,9037
King County Department of Metro Transit,Demand Response,10/1/2015,10347
King County Department of Metro Transit,Demand Response,11/1/2015,10764
King County Department of Metro Transit,Demand Response,12/1/2015,12059
King County Department of Metro Transit,Demand Response,1/1/2016,10141
King County Department of Metro Transit,Demand Response,2/1/2016,8371
King County Department of Metro Transit,Demand Response,3/1/2016,10193
King County Department of Metro Transit,Demand Response,4/1/2016,9277
King County Department of Metro Transit,Demand Response,5/1/2016,9380
King County Department of Metro Transit,Demand Response,6/1/2016,8991
King County Department of Metro Transit,Demand Response,7/1/2016,9205
King County Department of Metro Transit,Demand Response,8/1/2016,8492
King County Department of Metro Transit,Demand Response,9/1/2016,7965
King County Department of Metro Transit,Demand Response,10/1/2016,8858
King County Department of Metro Transit,Demand Response,11/1/2016,9030
King County Department of Metro Transit,Demand Response,12/1/2016,10762
King County Department of Metro Transit,Demand Response,1/1/2017,7555
King County Department of Metro Transit,Demand Response,2/1/2017,7293
King County Department of Metro Transit,Demand Response,3/1/2017,8647
King County Department of Metro Transit,Demand Response,4/1/2017,8110
King County Department of Metro Transit,Demand Response,5/1/2017,9198
King County Department of Metro Transit,Demand Response,6/1/2017,8843
King County Department of Metro Transit,Demand Response,7/1/2017,8549
King County Department of Metro Transit,Demand Response,8/1/2017,8569
King County Department of Metro Transit,Demand Response,9/1/2017,8333
King County Department of Metro Transit,Demand Response,10/1/2017,9894
King County Department of Metro Transit,Demand Response,11/1/2017,9874
King County Department of Metro Transit,Demand Response,12/1/2017,8996
King County Department of Metro Transit,Demand Response,1/1/2018,10108
King County Department of Metro Transit,Demand Response,2/1/2018,9756
King County Department of Metro Transit,Demand Response,3/1/2018,11194
King County Department of Metro Transit,Demand Response,4/1/2018,11112
King County Department of Metro Transit,Demand Response,5/1/2018,12835
King County Department of Metro Transit,Demand Response,6/1/2018,10209
King County Department of Metro Transit,Demand Response,7/1/2018,10194
King County Department of Metro Transit,Demand Response,8/1/2018,11422
King County Department of Metro Transit,Demand Response,9/1/2018,12673
King County Department of Metro Transit,Demand Response,10/1/2018,16334
King County Department of Metro Transit,Demand Response,11/1/2018,15205
King County Department of Metro Transit,Demand Response,12/1/2018,12705
King County Department of Metro Transit,Demand Response,1/1/2019,14513
King County Department of Metro Transit,Demand Response,2/1/2019,9490
King County Department of Metro Transit,Demand Response,3/1/2019,15058
King County Department of Metro Transit,Demand Response,4/1/2019,16394
King County Department of Metro Transit,Demand Response,5/1/2019,15939
King County Department of Metro Transit,Demand Response,6/1/2019,14274
King County Department of Metro Transit,Demand Response,7/1/2019,13790
King County Department of Metro Transit,Demand Response,8/1/2019,12821
King County Department of Metro Transit,Demand Response,9/1/2019,15375
King County Department of Metro Transit,Demand Response,10/1/2019,19564
King County Department of Metro Transit,Demand Response,11/1/2019,15714
King County Department of Metro Transit,Demand Response,12/1/2019,14859
King County Department of Metro Transit,Demand Response,1/1/2020,16639
King County Department of Metro Transit,Demand Response,2/1/2020,17230
King County Department of Metro Transit,Demand Response,3/1/2020,4462
King County Department of Metro Transit,Demand Response,4/1/2020,1938
King County Department of Metro Transit,Demand Response,5/1/2020,3630
King County Department of Metro Transit,Demand Response,6/1/2020,6881
King County Department of Metro Transit,Demand Response,7/1/2020,6416
King County Department of Metro Transit,Demand Response,8/1/2020,5880
King County Department of Metro Transit,Demand Response,9/1/2020,6650
King County Department of Metro Transit,Demand Response,10/1/2020,6139
King County Department of Metro Transit,Demand Response,11/1/2020,5929
King County Department of Metro Transit,Demand Response,12/1/2020,4666
King County Department of Metro Transit,Demand Response,1/1/2021,4177
King County Department of Metro Transit,Demand Response,2/1/2021,4991
King County Department of Metro Transit,Demand Response,3/1/2021,7078
King County Department of Metro Transit,Demand Response,4/1/2021,8081
King County Department of Metro Transit,Demand Response,5/1/2021,8177
King County Department of Metro Transit,Demand Response,6/1/2021,4768
King County Department of Metro Transit,Demand Response,7/1/2021,6679
King County Department of Metro Transit,Demand Response,8/1/2021,7723
King County Department of Metro Transit,Demand Response,9/1/2021,8765
King County Department of Metro Transit,Demand Response,10/1/2021,10827
King County Department of Metro Transit,Demand Response,11/1/2021,9716
King County Department of Metro Transit,Demand Response,12/1/2021,7962
King County Department of Metro Transit,Demand Response,1/1/2022,6469
King County Department of Metro Transit,Demand Response,2/1/2022,7298
King County Department of Metro Transit,Demand Response,3/1/2022,10931
King County Department of Metro Transit,Demand Response,4/1/2022,9229
King County Department of Metro Transit,Demand Response,5/1/2022,9084
King County Department of Metro Transit,Demand Response,6/1/2022,8798
King County Department of Metro Transit,Demand Response,7/1/2022,8817
King County Department of Metro Transit,Demand Response,8/1/2022,9688
King County Department of Metro Transit,Demand Response,9/1/2022,9582
King County Department of Metro Transit,Demand Response,10/1/2022,11356
King County Department of Metro Transit,Demand Response,11/1/2022,11383
King County Department of Metro Transit,Demand Response,12/1/2022,8159
King County Department of Metro Transit,Demand Response,1/1/2023,10034
King County Department of Metro Transit,FerryBoat,1/1/2012,0
King County Department of Metro Transit,FerryBoat,2/1/2012,0
King County Department of Metro Transit,FerryBoat,3/1/2012,0
King County Department of Metro Transit,FerryBoat,4/1/2012,0
King County Department of Metro Transit,FerryBoat,5/1/2012,0
King County Department of Metro Transit,FerryBoat,6/1/2012,0
King County Department of Metro Transit,FerryBoat,7/1/2012,0
King County Department of Metro Transit,FerryBoat,8/1/2012,0
King County Department of Metro Transit,FerryBoat,9/1/2012,0
King County Department of Metro Transit,FerryBoat,10/1/2012,0
King County Department of Metro Transit,FerryBoat,11/1/2012,0
King County Department of Metro Transit,FerryBoat,12/1/2012,0
King County Department of Metro Transit,FerryBoat,1/1/2013,0
King County Department of Metro Transit,FerryBoat,2/1/2013,0
King County Department of Metro Transit,FerryBoat,3/1/2013,0
King County Department of Metro Transit,FerryBoat,4/1/2013,0
King County Department of Metro Transit,FerryBoat,5/1/2013,0
King County Department of Metro Transit,FerryBoat,6/1/2013,0
King County Department of Metro Transit,FerryBoat,7/1/2013,0
King County Department of Metro Transit,FerryBoat,8/1/2013,0
King County Department of Metro Transit,FerryBoat,9/1/2013,0
King County Department of Metro Transit,FerryBoat,10/1/2013,0
King County Department of Metro Transit,FerryBoat,11/1/2013,0
King County Department of Metro Transit,FerryBoat,12/1/2013,0
King County Department of Metro Transit,FerryBoat,1/1/2014,0
King County Department of Metro Transit,FerryBoat,2/1/2014,0
King County Department of Metro Transit,FerryBoat,3/1/2014,0
King County Department of Metro Transit,FerryBoat,4/1/2014,0
King County Department of Metro Transit,FerryBoat,5/1/2014,0
King County Department of Metro Transit,FerryBoat,6/1/2014,0
King County Department of Metro Transit,FerryBoat,7/1/2014,0
King County Department of Metro Transit,FerryBoat,8/1/2014,0
King County Department of Metro Transit,FerryBoat,9/1/2014,0
King County Department of Metro Transit,FerryBoat,10/1/2014,0
King County Department of Metro Transit,FerryBoat,11/1/2014,0
King County Department of Metro Transit,FerryBoat,12/1/2014,0
King County Department of Metro Transit,FerryBoat,1/1/2015,0
King County Department of Metro Transit,FerryBoat,2/1/2015,0
King County Department of Metro Transit,FerryBoat,3/1/2015,0
King County Department of Metro Transit,FerryBoat,4/1/2015,0
King County Department of Metro Transit,FerryBoat,5/1/2015,0
King County Department of Metro Transit,FerryBoat,6/1/2015,0
King County Department of Metro Transit,FerryBoat,7/1/2015,0
King County Department of Metro Transit,FerryBoat,8/1/2015,0
King County Department of Metro Transit,FerryBoat,9/1/2015,0
King County Department of Metro Transit,FerryBoat,10/1/2015,0
King County Department of Metro Transit,FerryBoat,11/1/2015,0
King County Department of Metro Transit,FerryBoat,12/1/2015,0
King County Department of Metro Transit,FerryBoat,1/1/2016,27674
King County Department of Metro Transit,FerryBoat,2/1/2016,29363
King County Department of Metro Transit,FerryBoat,3/1/2016,35062
King County Department of Metro Transit,FerryBoat,4/1/2016,53504
King County Department of Metro Transit,FerryBoat,5/1/2016,68182
King County Department of Metro Transit,FerryBoat,6/1/2016,65890
King County Department of Metro Transit,FerryBoat,7/1/2016,76560
King County Department of Metro Transit,FerryBoat,8/1/2016,83035
King County Department of Metro Transit,FerryBoat,9/1/2016,59502
King County Department of Metro Transit,FerryBoat,10/1/2016,44126
King County Department of Metro Transit,FerryBoat,11/1/2016,31648
King County Department of Metro Transit,FerryBoat,12/1/2016,27396
King County Department of Metro Transit,FerryBoat,1/1/2017,29690
King County Department of Metro Transit,FerryBoat,2/1/2017,29192
King County Department of Metro Transit,FerryBoat,3/1/2017,36883
King County Department of Metro Transit,FerryBoat,4/1/2017,42832
King County Department of Metro Transit,FerryBoat,5/1/2017,63252
King County Department of Metro Transit,FerryBoat,6/1/2017,69767
King County Department of Metro Transit,FerryBoat,7/1/2017,89020
King County Department of Metro Transit,FerryBoat,8/1/2017,65502
King County Department of Metro Transit,FerryBoat,9/1/2017,62049
King County Department of Metro Transit,FerryBoat,10/1/2017,52902
King County Department of Metro Transit,FerryBoat,11/1/2017,30879
King County Department of Metro Transit,FerryBoat,12/1/2017,27986
King County Department of Metro Transit,FerryBoat,1/1/2018,36150
King County Department of Metro Transit,FerryBoat,2/1/2018,31605
King County Department of Metro Transit,FerryBoat,3/1/2018,40987
King County Department of Metro Transit,FerryBoat,4/1/2018,48296
King County Department of Metro Transit,FerryBoat,5/1/2018,67867
King County Department of Metro Transit,FerryBoat,6/1/2018,73141
King County Department of Metro Transit,FerryBoat,7/1/2018,92078
King County Department of Metro Transit,FerryBoat,8/1/2018,92929
King County Department of Metro Transit,FerryBoat,9/1/2018,62839
King County Department of Metro Transit,FerryBoat,10/1/2018,55472
King County Department of Metro Transit,FerryBoat,11/1/2018,34159
King County Department of Metro Transit,FerryBoat,12/1/2018,28842
King County Department of Metro Transit,FerryBoat,1/1/2019,59293
King County Department of Metro Transit,FerryBoat,2/1/2019,41375
King County Department of Metro Transit,FerryBoat,3/1/2019,56148
King County Department of Metro Transit,FerryBoat,4/1/2019,58572
King County Department of Metro Transit,FerryBoat,5/1/2019,69194
King County Department of Metro Transit,FerryBoat,6/1/2019,74257
King County Department of Metro Transit,FerryBoat,7/1/2019,90079
King County Department of Metro Transit,FerryBoat,8/1/2019,67308
King County Department of Metro Transit,FerryBoat,9/1/2019,62058
King County Department of Metro Transit,FerryBoat,10/1/2019,56795
King County Department of Metro Transit,FerryBoat,11/1/2019,34259
King County Department of Metro Transit,FerryBoat,12/1/2019,32270
King County Department of Metro Transit,FerryBoat,1/1/2020,37519
King County Department of Metro Transit,FerryBoat,2/1/2020,35751
King County Department of Metro Transit,FerryBoat,3/1/2020,14068
King County Department of Metro Transit,FerryBoat,4/1/2020,2039
King County Department of Metro Transit,FerryBoat,5/1/2020,2221
King County Department of Metro Transit,FerryBoat,6/1/2020,4797
King County Department of Metro Transit,FerryBoat,7/1/2020,9643
King County Department of Metro Transit,FerryBoat,8/1/2020,10630
King County Department of Metro Transit,FerryBoat,9/1/2020,9801
King County Department of Metro Transit,FerryBoat,10/1/2020,8788
King County Department of Metro Transit,FerryBoat,11/1/2020,5586
King County Department of Metro Transit,FerryBoat,12/1/2020,6087
King County Department of Metro Transit,FerryBoat,1/1/2021,5355
King County Department of Metro Transit,FerryBoat,2/1/2021,5253
King County Department of Metro Transit,FerryBoat,3/1/2021,8573
King County Department of Metro Transit,FerryBoat,4/1/2021,12037
King County Department of Metro Transit,FerryBoat,5/1/2021,26121
King County Department of Metro Transit,FerryBoat,6/1/2021,34292
King County Department of Metro Transit,FerryBoat,7/1/2021,52129
King County Department of Metro Transit,FerryBoat,8/1/2021,44759
King County Department of Metro Transit,FerryBoat,9/1/2021,33479
King County Department of Metro Transit,FerryBoat,10/1/2021,27505
King County Department of Metro Transit,FerryBoat,11/1/2021,20047
King County Department of Metro Transit,FerryBoat,12/1/2021,17293
King County Department of Metro Transit,FerryBoat,1/1/2022,15050
King County Department of Metro Transit,FerryBoat,2/1/2022,18317
King County Department of Metro Transit,FerryBoat,3/1/2022,26609
King County Department of Metro Transit,FerryBoat,4/1/2022,29292
King County Department of Metro Transit,FerryBoat,5/1/2022,33559
King County Department of Metro Transit,FerryBoat,6/1/2022,45085
King County Department of Metro Transit,FerryBoat,7/1/2022,61251
King County Department of Metro Transit,FerryBoat,8/1/2022,60786
King County Department of Metro Transit,FerryBoat,9/1/2022,46970
King County Department of Metro Transit,FerryBoat,10/1/2022,30880
King County Department of Metro Transit,FerryBoat,11/1/2022,18357
King County Department of Metro Transit,FerryBoat,12/1/2022,14251
King County Department of Metro Transit,FerryBoat,1/1/2023,19108
King County Department of Metro Transit,Light Rail,1/1/2012,0
King County Department of Metro Transit,Light Rail,2/1/2012,0
King County Department of Metro Transit,Light Rail,3/1/2012,0
King County Department of Metro Transit,Light Rail,4/1/2012,0
King County Department of Metro Transit,Light Rail,5/1/2012,0
King County Department of Metro Transit,Light Rail,6/1/2012,0
King County Department of Metro Transit,Light Rail,7/1/2012,0
King County Department of Metro Transit,Light Rail,8/1/2012,0
King County Department of Metro Transit,Light Rail,9/1/2012,0
King County Department of Metro Transit,Light Rail,10/1/2012,0
King County Department of Metro Transit,Light Rail,11/1/2012,0
King County Department of Metro Transit,Light Rail,12/1/2012,0
King County Department of Metro Transit,Light Rail,1/1/2013,0
King County Department of Metro Transit,Light Rail,2/1/2013,0
King County Department of Metro Transit,Light Rail,3/1/2013,0
King County Department of Metro Transit,Light Rail,4/1/2013,0
King County Department of Metro Transit,Light Rail,5/1/2013,0
King County Department of Metro Transit,Light Rail,6/1/2013,0
King County Department of Metro Transit,Light Rail,7/1/2013,0
King County Department of Metro Transit,Light Rail,8/1/2013,0
King County Department of Metro Transit,Light Rail,9/1/2013,0
King County Department of Metro Transit,Light Rail,10/1/2013,0
King County Department of Metro Transit,Light Rail,11/1/2013,0
King County Department of Metro Transit,Light Rail,12/1/2013,0
King County Department of Metro Transit,Light Rail,1/1/2014,0
King County Department of Metro Transit,Light Rail,2/1/2014,0
King County Department of Metro Transit,Light Rail,3/1/2014,0
King County Department of Metro Transit,Light Rail,4/1/2014,0
King County Department of Metro Transit,Light Rail,5/1/2014,0
King County Department of Metro Transit,Light Rail,6/1/2014,0
King County Department of Metro Transit,Light Rail,7/1/2014,0
King County Department of Metro Transit,Light Rail,8/1/2014,0
King County Department of Metro Transit,Light Rail,9/1/2014,0
King County Department of Metro Transit,Light Rail,10/1/2014,0
King County Department of Metro Transit,Light Rail,11/1/2014,0
King County Department of Metro Transit,Light Rail,12/1/2014,0
King County Department of Metro Transit,Light Rail,1/1/2015,0
King County Department of Metro Transit,Light Rail,2/1/2015,0
King County Department of Metro Transit,Light Rail,3/1/2015,0
King County Department of Metro Transit,Light Rail,4/1/2015,0
King County Department of Metro Transit,Light Rail,5/1/2015,0
King County Department of Metro Transit,Light Rail,6/1/2015,0
King County Department of Metro Transit,Light Rail,7/1/2015,0
King County Department of Metro Transit,Light Rail,8/1/2015,0
King County Department of Metro Transit,Light Rail,9/1/2015,0
King County Department of Metro Transit,Light Rail,10/1/2015,0
King County Department of Metro Transit,Light Rail,11/1/2015,0
King County Department of Metro Transit,Light Rail,12/1/2015,0
King County Department of Metro Transit,Light Rail,1/1/2016,0
King County Department of Metro Transit,Light Rail,2/1/2016,0
King County Department of Metro Transit,Light Rail,3/1/2016,0
King County Department of Metro Transit,Light Rail,4/1/2016,0
King County Department of Metro Transit,Light Rail,5/1/2016,0
King County Department of Metro Transit,Light Rail,6/1/2016,0
King County Department of Metro Transit,Light Rail,7/1/2016,0
King County Department of Metro Transit,Light Rail,8/1/2016,0
King County Department of Metro Transit,Light Rail,9/1/2016,0
King County Department of Metro Transit,Light Rail,10/1/2016,0
King County Department of Metro Transit,Light Rail,11/1/2016,0
King County Department of Metro Transit,Light Rail,12/1/2016,0
King County Department of Metro Transit,Light Rail,1/1/2017,0
King County Department of Metro Transit,Light Rail,2/1/2017,0
King County Department of Metro Transit,Light Rail,3/1/2017,0
King County Department of Metro Transit,Light Rail,4/1/2017,0
King County Department of Metro Transit,Light Rail,5/1/2017,0
King County Department of Metro Transit,Light Rail,6/1/2017,0
King County Department of Metro Transit,Light Rail,7/1/2017,0
King County Department of Metro Transit,Light Rail,8/1/2017,0
King County Department of Metro Transit,Light Rail,9/1/2017,0
King County Department of Metro Transit,Light Rail,10/1/2017,0
King County Department of Metro Transit,Light Rail,11/1/2017,0
King County Department of Metro Transit,Light Rail,12/1/2017,0
King County Department of Metro Transit,Light Rail,1/1/2018,0
King County Department of Metro Transit,Light Rail,2/1/2018,0
King County Department of Metro Transit,Light Rail,3/1/2018,0
King County Department of Metro Transit,Light Rail,4/1/2018,0
King County Department of Metro Transit,Light Rail,5/1/2018,0
King County Department of Metro Transit,Light Rail,6/1/2018,0
King County Department of Metro Transit,Light Rail,7/1/2018,0
King County Department of Metro Transit,Light Rail,8/1/2018,0
King County Department of Metro Transit,Light Rail,9/1/2018,0
King County Department of Metro Transit,Light Rail,10/1/2018,0
King County Department of Metro Transit,Light Rail,11/1/2018,0
King County Department of Metro Transit,Light Rail,12/1/2018,0
King County Department of Metro Transit,Light Rail,1/1/2019,0
King County Department of Metro Transit,Light Rail,2/1/2019,0
King County Department of Metro Transit,Light Rail,3/1/2019,0
King County Department of Metro Transit,Light Rail,4/1/2019,0
King County Department of Metro Transit,Light Rail,5/1/2019,0
King County Department of Metro Transit,Light Rail,6/1/2019,0
King County Department of Metro Transit,Light Rail,7/1/2019,0
King County Department of Metro Transit,Light Rail,8/1/2019,0
King County Department of Metro Transit,Light Rail,9/1/2019,0
King County Department of Metro Transit,Light Rail,10/1/2019,0
King County Department of Metro Transit,Light Rail,11/1/2019,0
King County Department of Metro Transit,Light Rail,12/1/2019,0
King County Department of Metro Transit,Light Rail,1/1/2020,0
King County Department of Metro Transit,Light Rail,2/1/2020,0
King County Department of Metro Transit,Light Rail,3/1/2020,0
King County Department of Metro Transit,Light Rail,4/1/2020,0
